Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
4,1,0.6567998542296032,0.00810340266998551,1.2116530895233155,0.312538193194538,0.01249246597290039,0.001961733993364537,liblinear,l2,166.81005372000593,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 166.81005372000593}",0.6557025384340365,0.671076153021094,0.6571326421165534,0.6460493385770468,0.6540385989992852
6,2,0.6566568438613516,0.00785261900252096,1.1080864429473878,0.07292711738793328,0.015004301071166992,0.004008208078120992,liblinear,l2,464.15888336127773,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 464.15888336127773}",0.6557025384340365,0.6703611011798355,0.6571326421165534,0.6460493385770468,0.6540385989992852
21,3,0.6565853386772257,0.00784958808349144,5.659969329833984,0.6393967433473366,0.014746379852294923,0.0013250578489446179,liblinear,l1,166.81005372000593,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 166.81005372000593}",0.6557025384340365,0.6703611011798355,0.6567751161959242,0.6460493385770468,0.6540385989992852
2,3,0.6565853386772257,0.007611483383910372,6.730898714065551,0.8899626927172202,0.03149285316467285,0.016702916988836414,liblinear,l1,21.544346900318832,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 21.544346900318832}",0.6557025384340365,0.6696460493385771,0.6574901680371827,0.6460493385770468,0.6540385989992852
20,5,0.6565853386772256,0.007940256334679298,6.320303010940552,0.718405107878627,0.01735553741455078,0.003079543333994649,liblinear,l1,1291.5496650148827,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1291.5496650148827}",0.6560600643546657,0.6703611011798355,0.6567751161959242,0.6456918126564176,0.6540385989992852
18,6,0.6565140379396592,0.008409528285136051,3.2835662364959717,0.4050899936800878,0.023293828964233397,0.007155927577110551,liblinear,l1,1.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1.0}",0.6585627457990705,0.6692885234179478,0.6592777976403289,0.6442617089739006,0.6511794138670479
14,7,0.6565138334930999,0.00784916205037731,4.8064127445220945,0.5377660125224879,0.014013195037841797,0.0009697666089077188,liblinear,l1,464.15888336127773,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 464.15888336127773}",0.6557025384340365,0.6703611011798355,0.656417590275295,0.6460493385770468,0.6540385989992852
12,8,0.6565138334930998,0.007946272226657268,1.3247763156890868,0.14965300998262335,0.013502693176269532,0.0015737691339171931,liblinear,l2,3593.813663804626,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 3593.813663804626}",0.6557025384340365,0.6703611011798355,0.6567751161959242,0.6456918126564176,0.6540385989992852
19,8,0.6565138334930998,0.007946272226657268,1.9088784217834474,0.23788657578039296,0.015821027755737304,0.002835832180595799,liblinear,l2,1291.5496650148827,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 1291.5496650148827}",0.6557025384340365,0.6703611011798355,0.6567751161959242,0.6456918126564176,0.6540385989992852
9,10,0.6563710020155875,0.008689100313274557,2.9854134559631347,0.2129947561604751,0.016016292572021484,0.0016876979082435526,liblinear,l1,2.7825594022071245,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 2.7825594022071245}",0.6553450125134073,0.6717912048623526,0.6574901680371827,0.6456918126564176,0.6515368120085776
15,11,0.655870644617446,0.009204027060001592,7.349572610855103,0.09015644203765086,0.012883234024047851,0.002862748823157906,saga,l1,7.742636826811269,"{'solver': 'saga', 'penalty': 'l1', 'C': 7.742636826811269}",0.660707901322846,0.6703611011798355,0.6553450125134073,0.6439041830532714,0.6490350250178699
23,12,0.6557991394333202,0.009225861282766222,5.162677001953125,0.11631686701535822,0.012348651885986328,0.0008568291791763448,saga,l2,21.544346900318832,"{'solver': 'saga', 'penalty': 'l2', 'C': 21.544346900318832}",0.6610654272434752,0.6700035752592063,0.6553450125134073,0.6435466571326421,0.6490350250178699
11,12,0.6557991394333202,0.009225861282766222,5.600703859329224,0.10604084235630526,0.013720893859863281,0.0014420848112363376,saga,l2,166.81005372000593,"{'solver': 'saga', 'penalty': 'l2', 'C': 166.81005372000593}",0.6610654272434752,0.6700035752592063,0.6553450125134073,0.6435466571326421,0.6490350250178699
24,14,0.6557276342491943,0.009186067418390889,4.653791236877441,0.4877809748303076,0.009643030166625977,0.002008755197880536,saga,l2,1291.5496650148827,"{'solver': 'saga', 'penalty': 'l2', 'C': 1291.5496650148827}",0.660707901322846,0.6700035752592063,0.6553450125134073,0.6435466571326421,0.6490350250178699
0,14,0.6557276342491943,0.0097346395449278,5.298840570449829,0.01571874057413393,0.018657445907592773,0.0014477457987266233,saga,l2,2.7825594022071245,"{'solver': 'saga', 'penalty': 'l2', 'C': 2.7825594022071245}",0.6610654272434752,0.6707186271004648,0.6553450125134073,0.6424740793707544,0.6490350250178699
17,14,0.6557276342491943,0.00911622656453891,5.6284585952758786,0.6661375665987517,0.014527320861816406,0.0018634630810639638,saga,l2,464.15888336127773,"{'solver': 'saga', 'penalty': 'l2', 'C': 464.15888336127773}",0.6610654272434752,0.6696460493385771,0.6553450125134073,0.6435466571326421,0.6490350250178699
8,14,0.6557276342491943,0.00911622656453891,7.313083744049072,0.16093882589519054,0.012466621398925782,0.0008899998465297204,saga,l1,10000.0,"{'solver': 'saga', 'penalty': 'l1', 'C': 10000.0}",0.6610654272434752,0.6696460493385771,0.6553450125134073,0.6435466571326421,0.6490350250178699
1,18,0.6556561290650685,0.009075388641797607,5.409943437576294,0.11756206377703264,0.019020938873291017,0.0021697204928030236,saga,l2,3593.813663804626,"{'solver': 'saga', 'penalty': 'l2', 'C': 3593.813663804626}",0.660707901322846,0.6696460493385771,0.6553450125134073,0.6435466571326421,0.6490350250178699
13,19,0.6555846238809426,0.009516158895013487,7.141835308074951,0.0465212111212417,0.014550733566284179,0.002245011347025381,saga,l1,1291.5496650148827,"{'solver': 'saga', 'penalty': 'l1', 'C': 1291.5496650148827}",0.6610654272434752,0.6700035752592063,0.6553450125134073,0.6424740793707544,0.6490350250178699
10,19,0.6555846238809426,0.009171418156724006,7.4847437858581545,0.10455266070909494,0.011786699295043945,0.0003331698111306306,saga,l1,21.544346900318832,"{'solver': 'saga', 'penalty': 'l1', 'C': 21.544346900318832}",0.660707901322846,0.6696460493385771,0.6553450125134073,0.6431891312120128,0.6490350250178699
22,21,0.6555845983251227,0.009360021710797998,5.420823192596435,0.027069845025646043,0.011728048324584961,0.00045496974606181134,saga,l2,7.742636826811269,"{'solver': 'saga', 'penalty': 'l2', 'C': 7.742636826811269}",0.6610654272434752,0.6696460493385771,0.6553450125134073,0.6424740793707544,0.6493924231593996
5,22,0.6555131186968168,0.009268659392930508,6.813837575912475,0.05360500062122691,0.011575794219970703,0.0004193543730400702,saga,l1,464.15888336127773,"{'solver': 'saga', 'penalty': 'l1', 'C': 464.15888336127773}",0.660707901322846,0.6696460493385771,0.6553450125134073,0.6428316052913836,0.6490350250178699
16,22,0.6555131186968168,0.009268659392930508,7.275185632705688,0.2326545506138864,0.015141534805297851,0.0021789081869636293,saga,l1,3593.813663804626,"{'solver': 'saga', 'penalty': 'l1', 'C': 3593.813663804626}",0.660707901322846,0.6696460493385771,0.6553450125134073,0.6428316052913836,0.6490350250178699
3,24,0.6554416646243307,0.009302122402599871,7.637474870681762,0.2520200651905925,0.012001276016235352,0.0010546565109071015,saga,l1,2.7825594022071245,"{'solver': 'saga', 'penalty': 'l1', 'C': 2.7825594022071245}",0.660707901322846,0.6700035752592063,0.6546299606721487,0.6435466571326421,0.6483202287348105
7,25,0.6550840620362417,0.008505118073018772,7.120447635650635,0.06046024199127813,0.014648056030273438,0.0037446352672926638,saga,l1,1.0,"{'solver': 'saga', 'penalty': 'l1', 'C': 1.0}",0.660707901322846,0.6678584197354308,0.6539149088308902,0.6435466571326421,0.6493924231593996
